Timestamp,Type,Symbol,Strike,Bid,ROI
2025-05-15 19:56:54,REJECTED,TSLL,14.5,nan,nan
2025-05-15 19:56:54,REJECTED,TSLL,14.0,nan,nan
2025-05-15 19:56:54,REJECTED,F,10.5,nan,nan
2025-05-15 19:56:54,REJECTED,F,10.0,nan,nan
2025-05-15 19:56:54,REJECTED,F,9.85,nan,nan
2025-05-15 19:56:54,REJECTED,F,9.5,nan,nan
2025-05-15 19:56:54,REJECTED,SNAP,8.5,nan,nan
2025-05-15 19:56:54,REJECTED,SNAP,8.0,nan,nan
2025-05-15 19:56:54,REJECTED,SNAP,7.5,nan,nan
2025-05-15 19:56:54,REJECTED,SNAP,7.0,nan,nan
2025-05-15 19:56:54,REJECTED,SNAP,6.5,nan,nan
2025-05-15 19:56:54,REJECTED,OLO,9.0,nan,nan
2025-05-15 19:56:54,REJECTED,OLO,7.5,nan,nan
2025-05-15 19:56:54,REJECTED,OLO,6.0,nan,nan
2025-05-16 07:54:36,REJECTED,TSLL,15.0,0.24,0.0160
2025-05-16 07:54:36,REJECTED,TSLL,14.5,0.09,0.0062
2025-05-16 07:54:36,REJECTED,TSLL,14.0,0.03,0.0021
2025-05-16 07:54:36,REJECTED,F,10.5,0,0.0000
2025-05-16 07:54:36,REJECTED,F,10.0,0,0.0000
2025-05-16 07:54:36,REJECTED,F,9.85,0,0.0000
2025-05-16 07:54:36,REJECTED,F,9.5,0,0.0000
2025-05-16 07:54:36,REJECTED,SNAP,8.5,0.05,0.0059
2025-05-16 07:54:36,REJECTED,SNAP,8.0,0,0.0000
2025-05-16 07:54:36,REJECTED,SNAP,7.5,0,0.0000
2025-05-16 07:54:36,REJECTED,SNAP,7.0,0,0.0000
2025-05-16 07:54:36,REJECTED,SNAP,6.5,0,0.0000
2025-05-16 07:54:36,REJECTED,OLO,9.0,0,0.0000
2025-05-16 07:54:36,REJECTED,OLO,7.5,0,0.0000
2025-05-16 07:54:36,REJECTED,OLO,6.0,0,0.0000
